Country,Region,Year,Disaster Type,Population,Impact Score
St. Kits and Nevis,LATAM,2012,Wind Storms,39619,5.35
St. Vincent and the Grenadines,LATAM,2008,Wind Storms,118432,5.85
Monterrat,LATAM,2014,Wind Storms,9638,5.95
Antigua and Barbuda,LATAM,2003,Volcanoes,68842,4.27
Guadeloupe,LATAM,2016,Flood,399002,7.25
Monterrat,LATAM,2001,Flood,9638,9.25
Cayman Islands,LATAM,2000,Flood,47862,7.75
Netherlands Antilles,LATAM,2006,Slides,225369,4.77
Dominica,LATAM,2003,Other,72514,4.28
St. Vincent and the Grenadines,LATAM,2003,Slides,118432,4.27
Anguilla,LATAM,2018,Earthquake,14108,3.95
Grenada,LATAM,2009,Earthquake,90343,4.98
Britis Virgin Islands,LATAM,2003,Wind Storms,24004,4.85
Anguilla,LATAM,2017,Wind Storms,14108,5.85
St. Lucia,LATAM,2015,Wind Storms,172884,5.85
Antigua and Barbuda,LATAM,2007,Volcanoes,68842,4.27
Monterrat,LATAM,2001,Wind Storms,9638,5.45
St. Kits and Nevis,LATAM,2006,Wind Storms,39619,5.35
St. Vincent and the Grenadines,LATAM,2009,Wind Storms,118432,5.85
St. Vincent and the Grenadines,LATAM,2018,Flood,118432,8.75
Barbados,LATAM,2017,Earthquake,281968,4.48
Monterrat,LATAM,2002,Slides,9638,4.77
St. Lucia,LATAM,2017,Volcanoes,172884,4.77
El Salvador,LATAM,2017,Volcanoes,7066403,3.02
Anguilla,LATAM,2018,Wind Storms,14108,5.35
Anguilla,LATAM,2008,Flood,14108,8.25
St. Lucia,LATAM,2017,Wind Storms,172884,4.85
Grenada,LATAM,2003,Other,90343,3.78
Antigua and Barbuda,LATAM,2005,Slides,68842,4.28
St. Vincent and the Grenadines,LATAM,2006,Slides,118432,4.78
Virgin Islands,LATAM,2008,Earthquake,108210,3.98
Antigua and Barbuda,LATAM,2009,Wind Storms,68842,5.35
Anguilla,LATAM,2013,Wind Storms,14108,5.35
Barbados,LATAM,2009,Earthquake,281968,3.92
Britis Virgin Islands,LATAM,2018,Wind Storms,24004,5.35
Antigua and Barbuda,LATAM,2013,Slides,68842,4.77
Monterrat,LATAM,2009,Flood,9638,8.25
Monterrat,LATAM,2017,Slides,9638,3.77
Anguilla,LATAM,2015,Flood,14108,8.75
Barbados,LATAM,2007,Volcanoes,281968,4.28
Cayman Islands,LATAM,2018,Wind Storms,47862,5.35
Monterrat,LATAM,2006,Flood,9638,7.75
Antigua and Barbuda,LATAM,2013,Slides,68842,4.27
Panama,LATAM,2001,Wind Storms,3292693,3.6
St. Kits and Nevis,LATAM,2012,Earthquake,39619,4.95
Grenada,LATAM,2009,Earthquake,90343,4.98
Trinidad and Tobago,LATAM,2010,Flood,1047366,7.5
Anguilla,LATAM,2009,Wind Storms,14108,4.85
Britis Virgin Islands,LATAM,2008,Flood,24004,7.75
Monterrat,LATAM,2015,Other,9638,4.27
Guadeloupe,LATAM,2008,Flood,399002,6.75
Barbados,LATAM,2008,Flood,281968,8.75
Antigua and Barbuda,LATAM,2000,Flood,68842,8.75
Grenada,LATAM,2006,Wind Storms,90343,5.45
St. Kits and Nevis,LATAM,2009,Earthquake,39619,4.42
Puerto Rico,LATAM,2003,Earthquake,3958128,4.17
Dominica,LATAM,2013,Flood,72514,7.25
St. Kits and Nevis,LATAM,2018,Other,39619,4.28
Anguilla,LATAM,2018,Wind Storms,14108,4.95
Anguilla,LATAM,2001,Other,14108,4.27
Britis Virgin Islands,LATAM,2013,Earthquake,24004,4.48
St. Vincent and the Grenadines,LATAM,2018,Flood,118432,8.75
Monterrat,LATAM,2018,Other,9638,4.77
Barbados,LATAM,2000,Wind Storms,281968,4.85
St. Vincent and the Grenadines,LATAM,2018,Wind Storms,118432,5.35
Anguilla,LATAM,2007,Other,14108,3.77
St. Vincent and the Grenadines,LATAM,2009,Wind Storms,118432,5.85
Britis Virgin Islands,LATAM,2013,Slides,24004,4.77
Grenada,LATAM,2014,Flood,90343,7.75
Grenada,LATAM,2015,Flood,90343,9.25
Virgin Islands,LATAM,2007,Flood,108210,7.75
St. Vincent and the Grenadines,LATAM,2000,Volcanoes,118432,3.77
St. Kits and Nevis,LATAM,2006,Other,39619,4.27
Antigua and Barbuda,LATAM,2015,Other,68842,4.27
Monterrat,LATAM,2006,Other,9638,4.27
Anguilla,LATAM,2008,Earthquake,14108,4.98
Jamaica,LATAM,2018,Flood,2804332,6.5
Virgin Islands,LATAM,2009,Slides,108210,4.27
Anguilla,LATAM,2004,Flood,14108,7.75
Antigua and Barbuda,LATAM,2011,Slides,68842,4.27
Grenada,LATAM,2017,Flood,90343,7.75
Cayman Islands,LATAM,2017,Flood,47862,8.25
Barbados,LATAM,2009,Slides,281968,4.77
Virgin Islands,LATAM,2001,Other,108210,4.27
St. Kits and Nevis,LATAM,2004,Slides,39619,3.78
Monterrat,LATAM,2013,Volcanoes,9638,4.27
Antigua and Barbuda,LATAM,2003,Earthquake,68842,4.48
St. Kits and Nevis,LATAM,2012,Earthquake,39619,4.42
Anguilla,LATAM,2008,Slides,14108,4.28
Monterrat,LATAM,2008,Wind Storms,9638,4.95
St. Kits and Nevis,LATAM,2009,Flood,39619,8.25
Anguilla,LATAM,2009,Wind Storms,14108,5.85
Antigua and Barbuda,LATAM,2009,Wind Storms,68842,5.85
Britis Virgin Islands,LATAM,2009,Flood,24004,7.75
St. Kits and Nevis,LATAM,2014,Wind Storms,39619,4.85
St. Lucia,LATAM,2007,Flood,172884,8.25
St. Vincent and the Grenadines,LATAM,2002,Earthquake,118432,3.95
Haiti,LATAM,2008,Volcanoes,8924553,3.02
St. Vincent and the Grenadines,LATAM,2017,Flood,118432,7.25
Anguilla,LATAM,2009,Earthquake,14108,3.98
St. Vincent and the Grenadines,LATAM,2003,Flood,118432,9.25
Anguilla,LATAM,2017,Other,14108,3.77
Grenada,LATAM,2009,Earthquake,90343,4.48
Dominica,LATAM,2017,Flood,72514,8.75
Belize,LATAM,2008,Wind Storms,301270,3.45
St. Lucia,LATAM,2008,Wind Storms,172884,5.35
Guadeloupe,LATAM,2009,Other,399002,4.77
Grenada,LATAM,2012,Wind Storms,90343,5.35
Monterrat,LATAM,2008,Earthquake,9638,4.45
Anguilla,LATAM,2011,Volcanoes,14108,3.77
Monterrat,LATAM,2013,Other,9638,4.27
Dominica,LATAM,2008,Earthquake,72514,4.45
St. Kits and Nevis,LATAM,2003,Flood,39619,8.25
Anguilla,LATAM,2009,Other,14108,4.77
Dominica,LATAM,2002,Flood,72514,8.25
Cayman Islands,LATAM,2001,Flood,47862,8.75
Monterrat,LATAM,2017,Other,9638,4.27
Barbados,LATAM,2008,Flood,281968,7.75
Anguilla,LATAM,2001,Slides,14108,4.27
Monterrat,LATAM,2009,Flood,9638,7.25
Anguilla,LATAM,2002,Flood,14108,7.25
St. Kits and Nevis,LATAM,2008,Flood,39619,7.25
St. Lucia,LATAM,2009,Wind Storms,172884,5.45
St. Vincent and the Grenadines,LATAM,2009,Flood,118432,8.25
Monterrat,LATAM,2013,Flood,9638,6.75
St. Vincent and the Grenadines,LATAM,2004,Flood,118432,7.75
Anguilla,LATAM,2010,Other,14108,3.78
Barbados,LATAM,2011,Wind Storms,281968,5.35
Monterrat,LATAM,2016,Wind Storms,9638,5.85
Guadeloupe,LATAM,2006,Earthquake,399002,4.95
Turks and Calcos Islands,LATAM,2007,Flood,22352,7.25
Anguilla,LATAM,2001,Wind Storms,14108,5.35
Antigua and Barbuda,LATAM,2013,Earthquake,68842,4.45
Monterrat,LATAM,2014,Slides,9638,3.77
Guadeloupe,LATAM,2017,Flood,399002,6.75
St. Kits and Nevis,LATAM,2017,Flood,39619,7.75
Britis Virgin Islands,LATAM,2003,Flood,24004,7.75
Dominica,LATAM,2004,Wind Storms,72514,5.35
Anguilla,LATAM,2012,Earthquake,14108,4.95
Britis Virgin Islands,LATAM,2003,Earthquake,24004,3.98
Antigua and Barbuda,LATAM,2017,Other,68842,4.27
Grenada,LATAM,2011,Slides,90343,4.27
Monterrat,LATAM,2018,Flood,9638,7.25
Nicaragua,LATAM,2016,Flood,5785846,7.25
Anguilla,LATAM,2003,Flood,14108,7.75
Turks and Calcos Islands,LATAM,2009,Slides,22352,3.77
Netherlands Antilles,LATAM,2008,Slides,225369,4.28
Dominica,LATAM,2013,Slides,72514,4.77
Monterrat,LATAM,2004,Flood,9638,7.75
Antigua and Barbuda,LATAM,2017,Flood,68842,7.75
El Salvador,LATAM,2009,Wind Storms,7066403,3.45
Barbados,LATAM,2016,Wind Storms,281968,5.85
Anguilla,LATAM,2009,Flood,14108,8.25
Virgin Islands,LATAM,2011,Wind Storms,108210,5.45
Antigua and Barbuda,LATAM,2018,Other,68842,4.27
Monterrat,LATAM,2013,Volcanoes,9638,4.27
Cayman Islands,LATAM,2006,Flood,47862,8.25
St. Vincent and the Grenadines,LATAM,2004,Volcanoes,118432,3.77
St. Kits and Nevis,LATAM,2016,Earthquake,39619,4.45
St. Lucia,LATAM,2013,Earthquake,172884,4.42
Anguilla,LATAM,2006,Wind Storms,14108,5.35
Guadeloupe,LATAM,2010,Flood,399002,8.25
St. Lucia,LATAM,2013,Flood,172884,9.75
Cayman Islands,LATAM,2010,Wind Storms,47862,5.85
Guadeloupe,LATAM,2006,Flood,399002,8.25
St. Kits and Nevis,LATAM,2014,Other,39619,4.28
Monterrat,LATAM,2006,Earthquake,9638,4.45
Guadeloupe,LATAM,2007,Wind Storms,399002,5.35
St. Kits and Nevis,LATAM,2007,Flood,39619,7.25
Anguilla,LATAM,2016,Earthquake,14108,4.45
St. Vincent and the Grenadines,LATAM,2008,Flood,118432,7.25
Cayman Islands,LATAM,2004,Volcanoes,47862,4.28
Guadeloupe,LATAM,2007,Wind Storms,399002,5.45
Virgin Islands,LATAM,2008,Flood,108210,8.25
St. Lucia,LATAM,2009,Other,172884,3.77
Anguilla,LATAM,2011,Wind Storms,14108,5.45
Grenada,LATAM,2003,Wind Storms,90343,5.95
Monterrat,LATAM,2016,Volcanoes,9638,3.77
St. Kits and Nevis,LATAM,2017,Flood,39619,8.75
Dominica,LATAM,2009,Flood,72514,6.75
Anguilla,LATAM,2014,Flood,14108,7.25
St. Vincent and the Grenadines,LATAM,2007,Flood,118432,7.75
Antigua and Barbuda,LATAM,2012,Wind Storms,68842,5.45
Monterrat,LATAM,2015,Wind Storms,9638,4.75
St. Vincent and the Grenadines,LATAM,2009,Other,118432,4.27
Monterrat,LATAM,2003,Flood,9638,7.25
Barbados,LATAM,2001,Slides,281968,4.27
Monterrat,LATAM,2006,Earthquake,9638,4.98
Barbados,LATAM,2016,Flood,281968,7.25
Haiti,LATAM,2015,Earthquake,8924553,3.23
St. Kits and Nevis,LATAM,2008,Earthquake,39619,4.48
Martinique,LATAM,2007,Flood,447002,8.5
Monterrat,LATAM,2008,Flood,9638,8.25
St. Lucia,LATAM,2016,Wind Storms,172884,5.35
Anguilla,LATAM,2006,Flood,14108,7.75
Dominica,LATAM,2015,Earthquake,72514,4.45
Anguilla,LATAM,2013,Flood,14108,9.25
St. Kits and Nevis,LATAM,2009,Wind Storms,39619,5.25
Barbados,LATAM,2016,Wind Storms,281968,5.35
Martinique,LATAM,2013,Flood,447002,7
Anguilla,LATAM,2017,Slides,14108,4.77
Virgin Islands,LATAM,2007,Flood,108210,8.25
St. Vincent and the Grenadines,LATAM,2009,Flood,118432,8.75
Anguilla,LATAM,2006,Earthquake,14108,4.48
Netherlands Antilles,LATAM,2009,Volcanoes,225369,3.77
St. Lucia,LATAM,2017,Flood,172884,7.25
Monterrat,LATAM,2010,Wind Storms,9638,5.45
Britis Virgin Islands,LATAM,2004,Earthquake,24004,4.42
Turks and Calcos Islands,LATAM,2017,Flood,22352,8.25
St. Vincent and the Grenadines,LATAM,2009,Flood,118432,8.25
Grenada,LATAM,2018,Flood,90343,7.25
St. Kits and Nevis,LATAM,2014,Slides,39619,4.77
Grenada,LATAM,2017,Other,90343,4.27
Dominica,LATAM,2008,Other,72514,4.77
St. Lucia,LATAM,2017,Flood,172884,8.25
Monterrat,LATAM,2006,Flood,9638,8.75
St. Lucia,LATAM,2001,Flood,172884,9.25
Monterrat,LATAM,2018,Flood,9638,6.75
Monterrat,LATAM,2013,Flood,9638,9.75
Martinique,LATAM,2009,Flood,447002,7.5
Monterrat,LATAM,2009,Wind Storms,9638,5.35
Britis Virgin Islands,LATAM,2000,Slides,24004,4.28
Anguilla,LATAM,2003,Flood,14108,8.75
Cayman Islands,LATAM,2007,Wind Storms,47862,5.35
Britis Virgin Islands,LATAM,2006,Flood,24004,8.25
Monterrat,LATAM,2009,Earthquake,9638,4.98
Virgin Islands,LATAM,2006,Flood,108210,8.75
Grenada,LATAM,2013,Wind Storms,90343,5.75
Barbados,LATAM,2004,Earthquake,281968,4.45
St. Vincent and the Grenadines,LATAM,2010,Slides,118432,4.27
Dominica,LATAM,2001,Flood,72514,8.75
Turks and Calcos Islands,LATAM,2017,Earthquake,22352,4.45
Anguilla,LATAM,2003,Flood,14108,9.75
Guadeloupe,LATAM,2010,Earthquake,399002,4.48
Monterrat,LATAM,2002,Earthquake,9638,4.42
Haiti,LATAM,2009,Volcanoes,8924553,2.53
St. Vincent and the Grenadines,LATAM,2016,Flood,118432,8.75
Anguilla,LATAM,2003,Flood,14108,9.25
Monterrat,LATAM,2001,Flood,9638,6.75
Cayman Islands,LATAM,2009,Slides,47862,3.77
St. Vincent and the Grenadines,LATAM,2006,Earthquake,118432,3.95
Britis Virgin Islands,LATAM,2009,Flood,24004,8.75
Virgin Islands,LATAM,2000,Wind Storms,108210,5.45
St. Lucia,LATAM,2014,Flood,172884,7.75
Britis Virgin Islands,LATAM,2015,Flood,24004,8.25
Dominica,LATAM,2013,Flood,72514,8.25
Martinique,LATAM,2014,Wind Storms,447002,5.1
Antigua and Barbuda,LATAM,2004,Other,68842,4.27
Antigua and Barbuda,LATAM,2008,Wind Storms,68842,4.95
Monterrat,LATAM,2008,Slides,9638,4.78
Monterrat,LATAM,2017,Slides,9638,3.77
St. Lucia,LATAM,2009,Earthquake,172884,4.48
Cayman Islands,LATAM,2017,Flood,47862,9.25
Anguilla,LATAM,2000,Wind Storms,14108,5.85
St. Kits and Nevis,LATAM,2007,Wind Storms,39619,5.35
Anguilla,LATAM,2009,Wind Storms,14108,5.45
Anguilla,LATAM,2001,Flood,14108,7.75
St. Vincent and the Grenadines,LATAM,2009,Flood,118432,7.25
Trinidad and Tobago,LATAM,2001,Flood,1047366,9
Monterrat,LATAM,2005,Other,9638,4.27
St. Lucia,LATAM,2017,Flood,172884,7.25
Grenada,LATAM,2013,Wind Storms,90343,4.95
St. Vincent and the Grenadines,LATAM,2010,Wind Storms,118432,5.25
Virgin Islands,LATAM,2002,Earthquake,108210,3.95
Monterrat,LATAM,2007,Flood,9638,8.75
Virgin Islands,LATAM,2007,Flood,108210,8.75
St. Vincent and the Grenadines,LATAM,2012,Other,118432,4.27
Britis Virgin Islands,LATAM,2006,Wind Storms,24004,5.35
Martinique,LATAM,2006,Flood,447002,7.5
Monterrat,LATAM,2016,Flood,9638,8.25
Monterrat,LATAM,2017,Other,9638,4.77
Anguilla,LATAM,2008,Flood,14108,8.25
Anguilla,LATAM,2017,Flood,14108,7.25
Monterrat,LATAM,2014,Flood,9638,9.25
Anguilla,LATAM,2006,Volcanoes,14108,3.78
St. Kits and Nevis,LATAM,2009,Wind Storms,39619,4.85
Anguilla,LATAM,2017,Flood,14108,9.25
Cayman Islands,LATAM,2008,Slides,47862,4.78
St. Kits and Nevis,LATAM,2013,Flood,39619,8.25
Antigua and Barbuda,LATAM,2012,Wind Storms,68842,4.75
Antigua and Barbuda,LATAM,2014,Volcanoes,68842,3.77
Dominica,LATAM,2018,Other,72514,3.77
Britis Virgin Islands,LATAM,2017,Flood,24004,8.75
St. Lucia,LATAM,2009,Earthquake,172884,4.45
Dominica,LATAM,2008,Flood,72514,9.25
Martinique,LATAM,2006,Wind Storms,447002,4.5
St. Vincent and the Grenadines,LATAM,2006,Wind Storms,118432,5.85
Anguilla,LATAM,2014,Flood,14108,8.25
Monterrat,LATAM,2006,Wind Storms,9638,4.75
Anguilla,LATAM,2017,Wind Storms,14108,4.95
Anguilla,LATAM,2003,Earthquake,14108,4.45
Dominica,LATAM,2010,Earthquake,72514,4.42
Anguilla,LATAM,2009,Flood,14108,7.75
Antigua and Barbuda,LATAM,2016,Wind Storms,68842,5.45
Monterrat,LATAM,2013,Wind Storms,9638,5.35
St. Kits and Nevis,LATAM,2008,Slides,39619,4.27
Anguilla,LATAM,2016,Flood,14108,7.75
Monterrat,LATAM,2006,Earthquake,9638,4.42
El Salvador,LATAM,2007,Flood,7066403,7.5
Grenada,LATAM,2017,Wind Storms,90343,5.35
St. Kits and Nevis,LATAM,2014,Wind Storms,39619,5.45
Cayman Islands,LATAM,2001,Flood,47862,8.75
Monterrat,LATAM,2017,Wind Storms,9638,5.75
Monterrat,LATAM,2017,Slides,9638,4.27
Britis Virgin Islands,LATAM,2016,Earthquake,24004,4.42
Anguilla,LATAM,2010,Wind Storms,14108,5.95
Guadeloupe,LATAM,2015,Wind Storms,399002,5.45
Cayman Islands,LATAM,2003,Wind Storms,47862,4.85
Anguilla,LATAM,2018,Flood,14108,6.75
Anguilla,LATAM,2013,Wind Storms,14108,5.35
Guadeloupe,LATAM,2012,Volcanoes,399002,4.27
Anguilla,LATAM,2003,Wind Storms,14108,5.45
Monterrat,LATAM,2000,Earthquake,9638,4.95
Anguilla,LATAM,2010,Wind Storms,14108,5.35
Dominica,LATAM,2008,Flood,72514,9.25
Monterrat,LATAM,2002,Wind Storms,9638,5.45
Monterrat,LATAM,2017,Wind Storms,9638,4.75
Monterrat,LATAM,2006,Flood,9638,9.25
St. Lucia,LATAM,2016,Earthquake,172884,4.42
Dominica,LATAM,2006,Volcanoes,72514,4.27
Monterrat,LATAM,2003,Slides,9638,4.77
Monterrat,LATAM,2012,Flood,9638,7.75
St. Kits and Nevis,LATAM,2000,Flood,39619,8.75
St. Kits and Nevis,LATAM,2001,Wind Storms,39619,4.85
Jamaica,LATAM,2009,Wind Storms,2804332,3.6
Monterrat,LATAM,2000,Flood,9638,7.25
Virgin Islands,LATAM,2017,Other,108210,4.27
Monterrat,LATAM,2008,Wind Storms,9638,5.25
St. Kits and Nevis,LATAM,2018,Flood,39619,7.25
Monterrat,LATAM,2007,Earthquake,9638,4.95
Barbados,LATAM,2018,Wind Storms,281968,5.75
Dominica,LATAM,2008,Earthquake,72514,4.45
Anguilla,LATAM,2003,Wind Storms,14108,4.75
Monterrat,LATAM,2014,Flood,9638,8.25
Antigua and Barbuda,LATAM,2003,Wind Storms,68842,5.25
Martinique,LATAM,2016,Flood,447002,7.5
Virgin Islands,LATAM,2017,Volcanoes,108210,4.27
St. Kits and Nevis,LATAM,2002,Slides,39619,4.77
Trinidad and Tobago,LATAM,2014,Other,1047366,4.02
St. Vincent and the Grenadines,LATAM,2017,Other,118432,4.77
Anguilla,LATAM,2008,Slides,14108,4.77
Monterrat,LATAM,2009,Wind Storms,9638,4.85
Anguilla,LATAM,2004,Wind Storms,14108,5.35
Barbados,LATAM,2009,Other,281968,4.27
Dominica,LATAM,2000,Flood,72514,8.25
St. Kits and Nevis,LATAM,2003,Earthquake,39619,3.95
St. Vincent and the Grenadines,LATAM,2007,Other,118432,4.27
Monterrat,LATAM,2008,Flood,9638,6.75
Grenada,LATAM,2010,Slides,90343,4.27
Haiti,LATAM,2006,Wind Storms,8924553,3.6
Anguilla,LATAM,2017,Wind Storms,14108,5.25
Mexico,LATAM,2006,Earthquake,109955400,0.95
St. Kits and Nevis,LATAM,2006,Flood,39619,6.75
St. Lucia,LATAM,2005,Flood,172884,7.75
Virgin Islands,LATAM,2006,Wind Storms,108210,4.85
Anguilla,LATAM,2008,Wind Storms,14108,5.85
Monterrat,LATAM,2007,Wind Storms,9638,5.95
Barbados,LATAM,2006,Wind Storms,281968,5.25
St. Vincent and the Grenadines,LATAM,2013,Flood,118432,8.25
St. Vincent and the Grenadines,LATAM,2008,Flood,118432,7.75
St. Kits and Nevis,LATAM,2009,Flood,39619,6.75
Anguilla,LATAM,2002,Other,14108,4.28
St. Kits and Nevis,LATAM,2017,Slides,39619,4.78
St. Vincent and the Grenadines,LATAM,2009,Flood,118432,8.75
Grenada,LATAM,2014,Wind Storms,90343,5.35
Dominica,LATAM,2006,Flood,72514,7.75
Guadeloupe,LATAM,2013,Earthquake,399002,4.45
Barbados,LATAM,2017,Flood,281968,7.75
St. Kits and Nevis,LATAM,2017,Other,39619,4.27
St. Kits and Nevis,LATAM,2013,Other,39619,4.27
Grenada,LATAM,2000,Flood,90343,7.75
Anguilla,LATAM,2014,Wind Storms,14108,5.25
Grenada,LATAM,2001,Flood,90343,8.25
Monterrat,LATAM,2000,Wind Storms,9638,5.95
Monterrat,LATAM,2006,Volcanoes,9638,4.28
St. Kits and Nevis,LATAM,2017,Other,39619,3.78
Virgin Islands,LATAM,2009,Flood,108210,6.75
Britis Virgin Islands,LATAM,2017,Wind Storms,24004,5.85
Monterrat,LATAM,2001,Flood,9638,8.25
St. Kits and Nevis,LATAM,2001,Wind Storms,39619,4.85
El Salvador,LATAM,2017,Flood,7066403,5.5
Anguilla,LATAM,2009,Slides,14108,3.77
St. Kits and Nevis,LATAM,2018,Wind Storms,39619,5.35
Haiti,LATAM,2017,Flood,8924553,6.5
Anguilla,LATAM,2006,Wind Storms,14108,4.85
St. Kits and Nevis,LATAM,2006,Slides,39619,4.77
Jamaica,LATAM,2009,Flood,2804332,7.5
Netherlands Antilles,LATAM,2009,Wind Storms,225369,5.35
Britis Virgin Islands,LATAM,2012,Flood,24004,7.75
Monterrat,LATAM,2012,Wind Storms,9638,5.85
Monterrat,LATAM,2017,Earthquake,9638,4.42
Guadeloupe,LATAM,2015,Wind Storms,399002,5.35
Guadeloupe,LATAM,2015,Other,399002,4.27
Grenada,LATAM,2000,Flood,90343,7.75
Anguilla,LATAM,2008,Other,14108,3.77
St. Vincent and the Grenadines,LATAM,2013,Flood,118432,7.75
Martinique,LATAM,2009,Earthquake,447002,4.17
Martinique,LATAM,2008,Wind Storms,447002,5.1
Anguilla,LATAM,2009,Wind Storms,14108,5.35
Antigua and Barbuda,LATAM,2018,Flood,68842,9.25
Monterrat,LATAM,2017,Earthquake,9638,4.42
Puerto Rico,LATAM,2004,Wind Storms,3958128,4.6
Monterrat,LATAM,2014,Flood,9638,8.75
Britis Virgin Islands,LATAM,2017,Earthquake,24004,4.45
St. Kits and Nevis,LATAM,2006,Flood,39619,7.75
St. Vincent and the Grenadines,LATAM,2010,Wind Storms,118432,5.35
Britis Virgin Islands,LATAM,2017,Flood,24004,8.25
Anguilla,LATAM,2014,Earthquake,14108,4.42
Dominica,LATAM,2000,Earthquake,72514,4.45
St. Vincent and the Grenadines,LATAM,2015,Flood,118432,8.25
Antigua and Barbuda,LATAM,2009,Flood,68842,9.25
Jamaica,LATAM,2004,Other,2804332,3.02
Monterrat,LATAM,2003,Earthquake,9638,4.45
Monterrat,LATAM,2003,Flood,9638,6.75
Britis Virgin Islands,LATAM,2006,Other,24004,4.28
Grenada,LATAM,2012,Slides,90343,3.77
St. Lucia,LATAM,2006,Slides,172884,4.78
Monterrat,LATAM,2008,Wind Storms,9638,5.75
Barbados,LATAM,2008,Other,281968,4.77
Nicaragua,LATAM,2017,Wind Storms,5785846,3.35
Barbados,LATAM,2003,Other,281968,4.27
Virgin Islands,LATAM,2006,Wind Storms,108210,4.85
St. Kits and Nevis,LATAM,2009,Earthquake,39619,4.42
St. Vincent and the Grenadines,LATAM,2009,Wind Storms,118432,5.45
Turks and Calcos Islands,LATAM,2001,Wind Storms,22352,5.85
St. Vincent and the Grenadines,LATAM,2008,Earthquake,118432,4.45
St. Lucia,LATAM,2004,Flood,172884,7.75
St. Kits and Nevis,LATAM,2017,Wind Storms,39619,5.85
Antigua and Barbuda,LATAM,2017,Volcanoes,68842,4.27
St. Vincent and the Grenadines,LATAM,2015,Earthquake,118432,4.45
St. Vincent and the Grenadines,LATAM,2003,Slides,118432,3.77
Barbados,LATAM,2012,Slides,281968,4.77
St. Lucia,LATAM,2011,Wind Storms,172884,5.25
Barbados,LATAM,2012,Wind Storms,281968,5.45
Anguilla,LATAM,2008,Slides,14108,4.28
Britis Virgin Islands,LATAM,2008,Other,24004,3.77
Barbados,LATAM,2008,Wind Storms,281968,5.45
Anguilla,LATAM,2006,Wind Storms,14108,5.25
Monterrat,LATAM,2007,Wind Storms,9638,5.45
Virgin Islands,LATAM,2013,Flood,108210,9.25
St. Lucia,LATAM,2006,Earthquake,172884,4.95
Anguilla,LATAM,2001,Earthquake,14108,4.45
Grenada,LATAM,2009,Flood,90343,8.25
St. Vincent and the Grenadines,LATAM,2006,Flood,118432,8.75
St. Vincent and the Grenadines,LATAM,2017,Flood,118432,7.75
Grenada,LATAM,2003,Flood,90343,8.75
St. Kits and Nevis,LATAM,2008,Other,39619,3.77
Dominica,LATAM,2016,Other,72514,4.27
Antigua and Barbuda,LATAM,2003,Slides,68842,3.77
Puerto Rico,LATAM,2018,Wind Storms,3958128,4.7
St. Lucia,LATAM,2002,Volcanoes,172884,3.77
St. Vincent and the Grenadines,LATAM,2003,Flood,118432,8.75
Barbados,LATAM,2006,Earthquake,281968,4.48
Anguilla,LATAM,2008,Earthquake,14108,3.92
Anguilla,LATAM,2013,Flood,14108,8.25
St. Vincent and the Grenadines,LATAM,2000,Earthquake,118432,3.98
Turks and Calcos Islands,LATAM,2006,Flood,22352,9.25
St. Kits and Nevis,LATAM,2008,Earthquake,39619,4.45
Antigua and Barbuda,LATAM,2011,Wind Storms,68842,4.95
Virgin Islands,LATAM,2018,Slides,108210,3.77
St. Kits and Nevis,LATAM,2008,Flood,39619,7.75
Barbados,LATAM,2010,Flood,281968,8.25
Barbados,LATAM,2013,Other,281968,3.78
St. Kits and Nevis,LATAM,2004,Wind Storms,39619,5.95
Jamaica,LATAM,2003,Slides,2804332,3.02
Barbados,LATAM,2013,Volcanoes,281968,4.27
El Salvador,LATAM,2017,Wind Storms,7066403,4.1
St. Lucia,LATAM,2001,Wind Storms,172884,5.85
Monterrat,LATAM,2012,Other,9638,3.77
Grenada,LATAM,2010,Flood,90343,9.75
St. Vincent and the Grenadines,LATAM,2013,Slides,118432,4.27
Guadeloupe,LATAM,2015,Wind Storms,399002,5.45
Monterrat,LATAM,2017,Volcanoes,9638,4.77
Monterrat,LATAM,2017,Flood,9638,8.25
Britis Virgin Islands,LATAM,2001,Volcanoes,24004,4.27
St. Lucia,LATAM,2006,Wind Storms,172884,5.35
St. Lucia,LATAM,2010,Flood,172884,6.75
Antigua and Barbuda,LATAM,2018,Earthquake,68842,3.95
Barbados,LATAM,2014,Other,281968,3.77
Anguilla,LATAM,2017,Wind Storms,14108,5.45
Virgin Islands,LATAM,2013,Flood,108210,9.25
Guadeloupe,LATAM,2013,Wind Storms,399002,5.35
Cayman Islands,LATAM,2006,Volcanoes,47862,4.77
Monterrat,LATAM,2012,Flood,9638,7.75
Monterrat,LATAM,2013,Flood,9638,8.25
St. Vincent and the Grenadines,LATAM,2014,Wind Storms,118432,5.45
St. Vincent and the Grenadines,LATAM,2004,Wind Storms,118432,5.75
Dominica,LATAM,2017,Wind Storms,72514,5.35
Guadeloupe,LATAM,2000,Other,399002,4.27
Antigua and Barbuda,LATAM,2003,Other,68842,3.77
Guadeloupe,LATAM,2001,Flood,399002,7.25
Antigua and Barbuda,LATAM,2004,Flood,68842,8.25
Dominica,LATAM,2018,Wind Storms,72514,5.35
St. Kits and Nevis,LATAM,2013,Flood,39619,7.25
Anguilla,LATAM,2008,Slides,14108,3.78
Turks and Calcos Islands,LATAM,2009,Slides,22352,3.77
